frame,label,landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z,landmark_21_x,landmark_21_y,landmark_21_z,landmark_22_x,landmark_22_y,landmark_22_z,landmark_23_x,landmark_23_y,landmark_23_z,landmark_24_x,landmark_24_y,landmark_24_z,landmark_25_x,landmark_25_y,landmark_25_z,landmark_26_x,landmark_26_y,landmark_26_z,landmark_27_x,landmark_27_y,landmark_27_z,landmark_28_x,landmark_28_y,landmark_28_z,landmark_29_x,landmark_29_y,landmark_29_z,landmark_30_x,landmark_30_y,landmark_30_z,landmark_31_x,landmark_31_y,landmark_31_z,landmark_32_x,landmark_32_y,landmark_32_z
1,caminar-adelante,0.522302389,0.300906539,-0.259125233,0.52847904,0.295275748,-0.240777537,0.532582581,0.295422077,-0.240820035,0.535648286,0.295702487,-0.240809828,0.515951872,0.295366704,-0.242257357,0.511698961,0.295667708,-0.242252693,0.507421076,0.295990825,-0.242240056,0.54140234,0.299506992,-0.127866432,0.502451241,0.300089002,-0.136380792,0.53017962,0.308130682,-0.216813311,0.515012145,0.308389187,-0.219152734,0.572006524,0.337804943,-0.058844082,0.476228207,0.33565715,-0.076207668,0.578541994,0.380129308,-0.032706883,0.465367287,0.379499227,-0.048767183,0.575769067,0.418230593,-0.151630044,0.464455366,0.416311711,-0.146158025,0.576816261,0.432229906,-0.18725352,0.461261123,0.429643929,-0.181329742,0.570833802,0.430875808,-0.221177354,0.467315346,0.428657174,-0.208823979,0.56813854,0.426820815,-0.167555556,0.470895171,0.424076915,-0.159513593,0.546215653,0.420273095,0.010888495,0.490946561,0.419043928,-0.010905785,0.544261575,0.482830912,0.032365471,0.491442978,0.479455531,-0.001060675,0.546753883,0.536062837,0.170327097,0.488357782,0.537294388,0.147433355,0.536200464,0.544192076,0.176762819,0.491533756,0.544477284,0.154332191,0.562083364,0.554709435,0.055492669,0.480300903,0.554012358,0.025167439
3,caminar-adelante,0.522324502,0.300933719,-0.258679718,0.528481901,0.295275807,-0.240664303,0.532614052,0.295421571,-0.240705028,0.535741448,0.295701027,-0.240692079,0.515942454,0.295399338,-0.242177039,0.511665523,0.295702755,-0.242172301,0.507421851,0.296033412,-0.242166251,0.541406095,0.299513251,-0.129243806,0.502676904,0.300161481,-0.137593225,0.530303061,0.308135182,-0.216789514,0.514991462,0.308466256,-0.219127625,0.572130322,0.337843835,-0.058852952,0.47603631,0.336031497,-0.081085406,0.57853961,0.380150527,-0.02944733,0.464529008,0.379381478,-0.053646851,0.575289011,0.418424636,-0.149955124,0.464333564,0.416462481,-0.145683482,0.576560855,0.432218075,-0.184417158,0.461249948,0.429742426,-0.179250911,0.570729017,0.430903345,-0.217842713,0.467292696,0.428868234,-0.207332477,0.568087518,0.427226365,-0.165553287,0.470773846,0.42473188,-0.158876091,0.54613322,0.420230091,0.013606807,0.490946949,0.418803334,-0.01367322,0.544295013,0.482831001,0.030743854,0.491928726,0.479518771,-0.006861791,0.546702683,0.537268043,0.169854045,0.488595694,0.537280679,0.144560874,0.536215723,0.544650733,0.176082358,0.491611451,0.544355094,0.151797131,0.56207639,0.554997027,0.049002394,0.48077637,0.554354131,0.020593731
5,caminar-adelante,0.52207458,0.300966114,-0.244615853,0.528257132,0.295300096,-0.227193445,0.532476902,0.295451432,-0.227232069,0.535728097,0.295735896,-0.227215335,0.515710115,0.295479655,-0.228026047,0.511354148,0.295783818,-0.228020117,0.507347584,0.296129644,-0.228042901,0.541358709,0.29963854,-0.120778374,0.502684057,0.300308406,-0.125396878,0.530255139,0.308149666,-0.204868376,0.514550984,0.308502644,-0.206156999,0.572159231,0.338054478,-0.053399198,0.475847214,0.336493373,-0.073819362,0.578428268,0.380378306,-0.023165831,0.464339554,0.379366189,-0.047469094,0.57460922,0.418655455,-0.142529741,0.464353174,0.416611284,-0.133389995,0.57624644,0.432198554,-0.176081985,0.46140337,0.429799676,-0.165197715,0.570550144,0.430914849,-0.208748102,0.467406541,0.428938508,-0.193930879,0.567950964,0.427420229,-0.157727525,0.470794171,0.424971461,-0.146646649,0.546017706,0.420380861,0.013955039,0.490938872,0.418886632,-0.01403072,0.544295728,0.482850611,0.022262264,0.492270589,0.48025611,-0.010392061,0.5465734,0.53773421,0.168707475,0.488996387,0.537288129,0.144361496,0.536222279,0.544820964,0.175261289,0.492031962,0.5443362,0.151791036,0.56204015,0.555176139,0.046642162,0.480778515,0.555361807,0.020608835
7,caminar-adelante,0.521993935,0.30115658,-0.24283886,0.528173566,0.295445561,-0.22521238,0.53243202,0.295585066,-0.225252971,0.535728037,0.295856863,-0.225237131,0.515604913,0.295746326,-0.226402611,0.511233151,0.296057314,-0.226398855,0.507325649,0.296407163,-0.226422682,0.541303754,0.299795926,-0.11770831,0.50271976,0.300598145,-0.123732544,0.530253887,0.308270037,-0.202618435,0.51443845,0.308685809,-0.204332605,0.572193444,0.338274211,-0.048820578,0.475708455,0.337029099,-0.071490355,0.578229725,0.38076359,-0.019071769,0.464264452,0.379491746,-0.046221972,0.573884308,0.419060051,-0.140888259,0.464567661,0.416903168,-0.134309486,0.575691402,0.432198733,-0.175224692,0.461826146,0.429929286,-0.166841924,0.570139945,0.430964023,-0.208016768,0.467910647,0.429112911,-0.195459232,0.567641139,0.427640408,-0.15622589,0.471190751,0.425315648,-0.147549167,0.5459764,0.420482427,0.014830219,0.490949631,0.418955684,-0.014903943,0.544394076,0.482997328,0.020233363,0.492720872,0.480694413,-0.015222406,0.546604097,0.538377047,0.163554534,0.4893592,0.537405312,0.136270255,0.53671813,0.545228004,0.169674248,0.492208689,0.544346452,0.143386379,0.56200999,0.555493355,0.03878719,0.481464088,0.556106806,0.010089537
9,caminar-adelante,0.521979988,0.301354706,-0.241620466,0.528162301,0.295610875,-0.223816454,0.532428741,0.295753956,-0.223858073,0.535735905,0.296025902,-0.223841205,0.515592396,0.29595387,-0.225187153,0.511215746,0.296259254,-0.225184932,0.507324934,0.296599448,-0.225207746,0.541299224,0.299992442,-0.115867637,0.50280416,0.300782651,-0.122717835,0.530254543,0.30842194,-0.201250821,0.514385641,0.308867425,-0.203198612,0.572242558,0.338424474,-0.047375008,0.475697428,0.337575585,-0.069893509,0.578187644,0.381140918,-0.018291499,0.464299679,0.379775345,-0.044922467,0.573317349,0.41950652,-0.140985683,0.465070784,0.417138934,-0.134226501,0.575156391,0.432233661,-0.175843596,0.462335616,0.430053532,-0.166920796,0.569696665,0.431075782,-0.208439246,0.468566597,0.429258823,-0.195653573,0.567319989,0.427887768,-0.156262666,0.471828401,0.42557475,-0.147467569,0.54604888,0.420509189,0.014937562,0.491259187,0.418961585,-0.015012647,0.544459879,0.483087569,0.016802702,0.493335187,0.480977565,-0.01620779,0.546663404,0.538743436,0.159978971,0.49024725,0.537489176,0.135197148,0.537096977,0.545658827,0.166117877,0.492920488,0.544384718,0.142316252,0.561881602,0.555633008,0.035620157,0.482964933,0.556261897,0.009404338
11,caminar-adelante,0.521991849,0.301689535,-0.23758927,0.528181553,0.295914203,-0.219733462,0.532460332,0.296054423,-0.21978116,0.535785675,0.296316177,-0.219769552,0.51560092,0.296288371,-0.221027762,0.511230171,0.296590686,-0.221024901,0.507344246,0.296912521,-0.221048594,0.541315854,0.30025813,-0.112256937,0.502977073,0.301033348,-0.118806586,0.530279815,0.308698297,-0.197409973,0.514384329,0.309156328,-0.199262694,0.572319269,0.33863312,-0.046932027,0.475696266,0.337934941,-0.064042844,0.578143179,0.38135469,-0.019680407,0.464581043,0.38008678,-0.039055657,0.573142469,0.419723004,-0.147310123,0.465426147,0.417737067,-0.130635619,0.574979901,0.432313055,-0.184465975,0.462733597,0.430518776,-0.163666502,0.569554329,0.431219846,-0.216154069,0.469116658,0.429722488,-0.192974761,0.567225218,0.428097457,-0.162396252,0.472273856,0.426110595,-0.144142061,0.546104908,0.420670509,0.013987039,0.49153623,0.419042587,-0.014061527,0.544468582,0.483482301,0.011689411,0.493994713,0.481550515,-0.014730958,0.546714783,0.538941503,0.159086362,0.490650028,0.537547112,0.135527059,0.537478328,0.545899451,0.16560632,0.493514627,0.544444501,0.142601341,0.561540842,0.555755556,0.036136787,0.48302415,0.556726098,0.009634332
13,caminar-adelante,0.522030354,0.301940411,-0.241800234,0.528215587,0.296120912,-0.224063993,0.532509148,0.296263814,-0.224113122,0.535838783,0.296522111,-0.224100798,0.515623569,0.296495706,-0.225642666,0.511261225,0.296795189,-0.225647718,0.507377148,0.297106564,-0.225688085,0.541365266,0.300478756,-0.116120115,0.503145039,0.301247478,-0.123230107,0.53030926,0.308936924,-0.201334864,0.514394879,0.309393883,-0.20339261,0.572420955,0.338822424,-0.047801845,0.475707263,0.338257253,-0.067417458,0.578126848,0.38163951,-0.020667143,0.465084136,0.380623192,-0.040363461,0.573056698,0.419995457,-0.147841021,0.46588096,0.418177545,-0.132335722,0.574882388,0.43241936,-0.184834838,0.463110477,0.430810332,-0.165520117,0.569455743,0.431381971,-0.217000887,0.469456881,0.430043548,-0.196020111,0.567144573,0.428288788,-0.163047954,0.472591072,0.426490486,-0.146094948,0.54621762,0.420907974,0.014059467,0.491875768,0.419247568,-0.014134985,0.54452759,0.483824104,0.01395481,0.494116664,0.481896967,-0.014039265,0.546753526,0.539089203,0.163164824,0.490666419,0.537648141,0.140322775,0.537849426,0.546056986,0.170335755,0.493589938,0.544563055,0.148275718,0.561268449,0.555936456,0.036861464,0.483893543,0.556971133,0.013018247
15,caminar-adelante,0.522151828,0.302353084,-0.253450036,0.528320372,0.296515644,-0.23642233,0.532667279,0.296672523,-0.236461669,0.53596276,0.296936661,-0.23644881,0.51568675,0.296866775,-0.237812772,0.511341274,0.297163218,-0.237817243,0.507433295,0.297459126,-0.237854198,0.541642547,0.300880104,-0.129444391,0.503343344,0.301544279,-0.136193439,0.530455828,0.309431374,-0.213145658,0.514431655,0.309771836,-0.215087205,0.572695613,0.339132041,-0.058687121,0.475725919,0.338337302,-0.078048125,0.578108609,0.382148892,-0.02522479,0.465302855,0.380876958,-0.048751846,0.57295841,0.420617491,-0.148517996,0.466391593,0.418681711,-0.13879405,0.574700952,0.432749838,-0.184991524,0.46375981,0.431291193,-0.171075061,0.569223285,0.431784689,-0.217286453,0.470007718,0.430585057,-0.202230304,0.566947341,0.428701013,-0.163665354,0.473051786,0.426975608,-0.152653217,0.546390295,0.421274483,0.013939036,0.491994321,0.419489354,-0.014015873,0.544704974,0.484175235,0.013777149,0.494114965,0.482150972,-0.013458477,0.546790004,0.539343715,0.16047056,0.490704685,0.537678003,0.140445307,0.537873745,0.546526194,0.166990981,0.494090766,0.544602096,0.148343176,0.561420441,0.556548238,0.034967542,0.483953059,0.557046652,0.013713273
17,caminar-adelante,0.52220124,0.302872062,-0.269366205,0.528361022,0.297031969,-0.252303869,0.532727897,0.297167689,-0.252336115,0.536024988,0.297396511,-0.252319604,0.515695632,0.297409952,-0.253829867,0.51135385,0.297697693,-0.2538445,0.507450104,0.297994703,-0.253875166,0.541705012,0.301184088,-0.143354237,0.503495991,0.301942676,-0.151139364,0.530552566,0.3098526,-0.228240937,0.514482379,0.310167879,-0.230486795,0.572968066,0.339415848,-0.068044573,0.475766957,0.338436514,-0.090861984,0.578087807,0.382731408,-0.028360222,0.465479732,0.381147861,-0.059197456,0.572875559,0.421792388,-0.147965446,0.467003495,0.41911763,-0.148690775,0.574514508,0.433391392,-0.183310688,0.464510769,0.431717426,-0.180760741,0.569025576,0.432539672,-0.215961292,0.470609546,0.431053579,-0.211381629,0.566830277,0.429456204,-0.163045377,0.473550469,0.427359909,-0.162228063,0.546664834,0.421498984,0.014089498,0.492224902,0.41967839,-0.01416841,0.545146585,0.484295338,0.014017948,0.494125307,0.482389748,-0.014997244,0.546806157,0.539510787,0.157736614,0.490652531,0.537828684,0.136795223,0.537883937,0.546861231,0.163707003,0.494078189,0.544639409,0.144069642,0.561429501,0.556837022,0.032228027,0.483959615,0.557145536,0.009713647
19,caminar-adelante,0.522518337,0.302907676,-0.261180073,0.528514445,0.297083199,-0.243785009,0.532833278,0.297198445,-0.243830368,0.536132276,0.29740724,-0.243823588,0.515846193,0.297505707,-0.245786086,0.511544228,0.297815889,-0.245805383,0.507606864,0.298126429,-0.245852888,0.541715324,0.30117625,-0.134222716,0.503733218,0.302126139,-0.143270388,0.530844271,0.309863627,-0.219806567,0.514981031,0.310245365,-0.222431302,0.573114455,0.339420587,-0.059836868,0.475953162,0.338461101,-0.085886985,0.578024089,0.38270396,-0.025088012,0.46558091,0.381264895,-0.05705234,0.573144436,0.421764731,-0.146450147,0.467585117,0.419273406,-0.145333141,0.57493937,0.433367044,-0.181909427,0.464841157,0.431865156,-0.177719548,0.56955719,0.432519466,-0.214704454,0.471146405,0.431195915,-0.208646074,0.567274153,0.429414421,-0.161790296,0.474183142,0.427440584,-0.159008279,0.546741486,0.421496063,0.014076881,0.492325842,0.419715405,-0.014154227,0.545146465,0.484413207,0.012781896,0.494138986,0.482524991,-0.016416011,0.546803117,0.539636314,0.157128274,0.490364462,0.538187861,0.136765614,0.537888825,0.54698354,0.163183242,0.493851662,0.544751585,0.144075036,0.561189711,0.557070196,0.029256769,0.483926684,0.557208717,0.008615983
